date,date_q,file_name,words,d_per_1000,h_per_1000,i_per_1000,d_net_per_1000,DLI_1,DLI_2,DLI_3
2007-01-31,2007-01-01,2007-01-31.htm,180,11.11111111111111,77.77777777777777,50,-66.66666666666666,-5.43535949871233,-3.688068695044011,-3.688068695044011
2007-03-21,2007-01-01,2007-03-21.htm,169,23.668639053254438,41.42011834319526,41.42011834319526,-17.751479289940825,-1.662553629933736,-1.417988580454118,-1.417988580454118
2007-05-09,2007-04-01,2007-05-09.htm,168,17.857142857142858,47.61904761904762,41.666666666666664,-29.761904761904763,-2.333176097940248,-1.9753743228757437,-1.9753743228757437
2007-06-18,2007-04-01,2007-06-18.htm,182,21.978021978021978,27.47252747252747,38.46153846153846,-5.494505494505493,-0.9073949015809095,-0.8491609019710511,-0
2007-08-07,2007-07-01,2007-08-07.htm,211,18.95734597156398,33.175355450236964,33.175355450236964,-14.218009478672982,-1.1072193490717277,-1.254005572635172,-0
2007-08-10,2007-07-01,2007-08-10.htm,99,20.2020202020202,10.1010101010101,0,10.1010101010101,0.03536881704134324,-0.12539653084648048,-0
2007-08-17,2007-07-01,2007-08-17.htm,130,0,30.76923076923077,0,-30.76923076923077,0.5703514365559674,-2.0221228044982027,-0
2007-09-18,2007-07-01,2007-09-18.htm,260,34.61538461538461,23.076923076923077,23.076923076923077,11.538461538461537,-0.031005565357430945,-0.05868657635492756,-0
2007-10-31,2007-10-01,2007-10-31.htm,306,32.6797385620915,32.6797385620915,29.41176470588235,0,-0.44609154863988454,-0.5941691840303661,-0
2007-12-11,2007-10-01,2007-12-11.htm,283,31.802120141342755,24.73498233215548,31.802120141342755,7.067137809187276,-0.22219820785745295,-0.2661939708487077,-0
2008-01-22,2008-01-01,2008-01-22.htm,257,31.1284046692607,27.237354085603112,7.782101167315175,3.891050583657588,0.0036295705289566106,-0.4135913915587526,-0
2008-01-30,2008-01-01,2008-01-30.htm,255,31.372549019607842,27.45098039215686,7.8431372549019605,3.9215686274509807,0.002733696547625217,-0.4121750951472105,-0
2008-03-11,2008-01-01,2008-03-11.htm,415,26.50602409638554,2.4096385542168677,9.63855421686747,24.096385542168672,0.029568255183305386,0.524107747661313,0
2008-03-18,2008-01-01,2008-03-18.htm,294,20.408163265306122,27.210884353741495,40.816326530612244,-6.802721088435373,-1.0475098903957563,-0.9098732157664523,-0.9098732157664523
2008-04-30,2008-04-01,2008-04-30.htm,309,29.12621359223301,25.889967637540455,42.07119741100323,3.2362459546925564,-0.5307055085061405,-0.44397988737921834,-0.44397988737921834
2008-06-25,2008-04-01,2008-06-25.htm,254,23.62204724409449,47.24409448818898,55.118110236220474,-23.62204724409449,-2.7951281743930205,-1.690432790295044,-1.690432790295044
2008-08-05,2008-07-01,2008-08-05.htm,249,24.096385542168676,32.1285140562249,48.19277108433735,-8.032128514056225,-1.3636636006163274,-0.966928161260926,-0.966928161260926
2008-09-16,2008-07-01,2008-09-16.htm,227,17.621145374449338,35.242290748898675,35.242290748898675,-17.621145374449338,-1.349150471951134,-1.4119399798930037,-0
2008-10-08,2008-10-01,2008-10-08.htm,445,17.97752808988764,15.730337078651685,40.449438202247194,2.247191011235957,-0.5576731969425776,-0.48988043646810836,-0.48988043646810836
