date_q,n_statements,words_sum,dli1_q_mean,dli2_q_mean,dli3_q_mean,dli2_q_last,dli1_q_last,d_net_q_mean,d_q_mean,h_q_mean,i_q_mean,michigan_exp_infl,michigan_n_months,spf_exp_infl,surpr_statement,surpr_press,surpr_monetary,surpr_events,surpr_monetary_abs,surpr_monetary_z,surpr_monetary_abs_z,michigan_l1,michigan_l2,d_michigan,spf_l1,d_spf,dli2_l1,dli2_l2,dli2_l3,n_stmt_z,surpr_monetary_l1
2007-10-01,2,589,-0.33414487824866873,-0.4301815774395369,0,-0.2661939708487077,-0.22219820785745295,3.533568904593638,32.24092935171713,28.70736044712349,30.60694242361255,4.133333333333334,3,1.8994,NA,NA,NA,NA,NA,NA,NA,4.066666666666666,4.166666666666667,0.06666666666666732,6,-4.1006,-0.8650528710836957,-1.4122676124233973,-2.5530286377490645,-0.27141291677487306,NA
2008-01-01,4,1221,-0.25289459203396725,-0.30288298870277564,-0.22746830394161308,-0.9098732157664523,-1.0475098903957563,6.276570916210467,27.353785262640052,21.077214346429585,16.52002979242421,4.166666666666666,3,4.3,NA,NA,NA,NA,NA,NA,NA,4.133333333333334,4.066666666666666,0.03333333333333233,1.8994,2.4006,-0.4301815774395369,-0.8650528710836957,-1.4122676124233973,4.433077640656259,NA
2008-04-01,2,563,-1.6629168414495805,-1.0672063388371311,-1.0672063388371311,-1.690432790295044,-2.7951281743930205,-10.192900644700966,26.37413041816375,36.567031062864714,48.59465382361185,6.4,3,4.3,NA,NA,NA,NA,NA,NA,NA,4.166666666666666,4.133333333333334,2.2333333333333343,4.3,0,-0.30288298870277564,-0.4301815774395369,-0.8650528710836957,-0.27141291677487306,NA
2008-07-01,2,476,-1.3564070362837306,-1.1894340705769648,-0.483464080630463,-1.4119399798930037,-1.349150471951134,-12.826636944252781,20.85876545830901,33.68540240256179,41.71753091661802,5.3999999999999995,3,5,NA,NA,NA,NA,NA,NA,NA,6.4,4.166666666666666,-1.0000000000000009,4.3,0.7000000000000002,-1.0672063388371311,-0.30288298870277564,-0.4301815774395369,-0.27141291677487306,NA
2008-10-01,3,1138,-0.23969714393319616,-0.12143311074705197,-0.1632934788227028,0.5602709320195017,0.13562527146400807,10.186413006207237,25.30317254224649,15.116759536039252,27.62207342376115,2.966666666666667,3,6.7,NA,NA,NA,NA,NA,NA,NA,5.3999999999999995,6.4,-2.4333333333333327,5,1.7000000000000002,-1.1894340705769648,-1.0672063388371311,-0.30288298870277564,2.0808323619406925,NA
2009-01-01,2,898,-0.09928251916387668,-0.11655949798007104,0,0.07039157012530957,0.027341919174367554,10.291428542956936,33.25842920563425,22.967000662677314,24.160318085111683,2.4,3,-9.2,NA,NA,NA,NA,NA,NA,NA,2.966666666666667,5.3999999999999995,-0.5666666666666669,6.7,-15.899999999999999,-0.12143311074705197,-1.1894340705769648,-1.0672063388371311,-0.27141291677487306,NA
2009-04-01,2,807,0.1576246924852994,0.26129612819462594,0,0.13859648963076068,0.07617962410307166,18.433378528287932,43.30087513866634,24.867496610378403,24.722667324047826,3.4,3,-2.3993,NA,NA,NA,NA,NA,NA,NA,2.4,2.966666666666667,1,-9.2,6.800699999999999,-0.11655949798007104,-0.12143311074705197,-1.1894340705769648,-0.27141291677487306,NA
2009-07-01,2,847,0.39381412639052066,0.6646951416803715,0,1.0437776159180345,0.6542831220394407,27.125731809311404,46.01616950097575,18.890437691664346,23.604683579592972,3.1333333333333333,3,1.3,NA,NA,NA,NA,NA,NA,NA,3.4,2.4,-0.2666666666666666,-2.3993,3.6993,0.26129612819462594,-0.11655949798007104,-0.12143311074705197,-0.27141291677487306,NA
2009-10-01,2,1024,0.3858178903088415,0.511747482314105,0,0.317426207607583,0.16923525905434952,23.830049261083744,43.53448275862069,19.704433497536947,27.770935960591135,3.1,3,3.6,NA,NA,NA,NA,NA,NA,NA,3.1333333333333333,3.4,-0.033333333333333215,1.3,2.3,0.6646951416803715,0.26129612819462594,-0.11655949798007104,-0.27141291677487306,NA
2010-01-01,2,985,-0.16054941927204525,-0.18015624270916464,0,-0.27989045266329166,-0.27604468263538084,8.921059865226189,28.510324606632068,19.58926474140588,30.051310671120255,3.466666666666667,3,3.4,NA,NA,NA,NA,NA,NA,NA,3.1,3.1333333333333333,0.3666666666666667,3.6,-0.20000000000000018,0.511747482314105,0.6646951416803715,0.26129612819462594,-0.27141291677487306,NA
2010-04-01,3,1072,-0.5554057475303613,-0.2406337325374189,-0.4011418507264501,-0.7227245653744235,-1.0616135318136024,7.617904206529307,27.028587591922893,19.41068338539359,30.76418617466635,3.733333333333333,3,1.5,NA,NA,NA,NA,NA,NA,NA,3.466666666666667,3.1,0.26666666666666616,3.4,-1.9,-0.18015624270916464,0.511747482314105,0.6646951416803715,2.0808323619406925,NA
2010-07-01,2,888,0.5731664357213957,0.4992801495275211,0.4992801495275211,0.3794355571977042,0.42098625183931987,23.56140591434709,40.5106875695111,16.949281655164008,40.5106875695111,3.1666666666666665,3,-0.7,NA,NA,NA,NA,NA,NA,NA,3.733333333333333,3.466666666666667,-0.5666666666666664,1.5,-2.2,-0.2406337325374189,-0.18015624270916464,0.511747482314105,-0.27141291677487306,NA
2010-10-01,2,983,1.5691708249445244,1.1526906499102654,1.1526906499102654,1.2016788009775545,1.6377824393921832,37.64095176593314,48.83016243604391,11.189210670110775,46.795572334542086,3.6333333333333333,3,1.5,NA,NA,NA,NA,NA,NA,NA,3.1666666666666665,3.733333333333333,0.4666666666666668,-0.7,2.2,0.4992801495275211,-0.2406337325374189,-0.18015624270916464,-0.27141291677487306,NA
2011-01-01,2,900,2.039999162484074,1.263721058137952,1.263721058137952,1.2100486733642006,2.228449095068844,40.03341059946326,49.945386520108144,9.911975920644885,54.26504094775393,4.6000000000000005,3,2.6136,NA,NA,NA,NA,NA,NA,NA,3.6333333333333333,3.1666666666666665,0.9666666666666672,1.5,1.1136,1.1526906499102654,0.4992801495275211,-0.2406337325374189,-0.27141291677487306,NA
2011-04-01,2,924,2.0435521935052874,1.2120732249927804,1.2120732249927804,0.9224482233292639,1.221857226888455,38.92051444233607,48.68226860636727,9.761754164031203,54.058612692388785,4.866666666666666,3,5.2223,NA,NA,NA,NA,NA,NA,NA,4.6000000000000005,3.6333333333333333,0.2666666666666657,2.6136,2.6087,1.263721058137952,1.1526906499102654,0.4992801495275211,-0.27141291677487306,NA
2011-07-01,2,1123,0.4425476744867055,0.4692849116432032,0.14238977034470976,0.6537902825969868,0.5487333694617683,22.915075120957475,41.84173669467787,18.926661573720395,36.79971988795518,4.366666666666667,3,4.1,NA,NA,NA,NA,NA,NA,NA,4.866666666666666,4.6000000000000005,-0.4999999999999991,5.2223,-1.1223,1.2120732249927804,1.263721058137952,1.1526906499102654,-0.27141291677487306,NA
2011-10-01,2,934,0.5963947463159062,0.5557653722651384,0.3372000457780473,0.6744000915560946,0.7268739029576382,24.77853707922045,41.97096247210142,17.192425392880974,38.554105980074084,3.9,3,3.1,NA,NA,NA,NA,NA,NA,NA,4.366666666666667,4.866666666666666,-0.46666666666666723,4.1,-0.9999999999999996,0.4692849116432032,1.2120732249927804,1.263721058137952,-0.27141291677487306,NA
2012-01-01,2,864,0.30033692577599846,0.31721791542698674,0,0.46781005315967256,0.46952863493853364,19.63836890872942,35.871038965910856,16.232670057181444,33.5291185912036,4.266666666666667,3,0.8698,NA,NA,NA,NA,NA,NA,NA,3.9,4.366666666666667,0.3666666666666667,3.1,-2.2302,0.5557653722651384,0.4692849116432032,1.2120732249927804,-0.27141291677487306,NA
2012-04-01,2,953,0.050156386152125865,0.04462948845815583,0,-0.044956253081198355,-0.030913277963915013,13.764693395600602,30.622849612156266,16.858156216555663,31.743925845340122,3.7,3,2.5408,NA,NA,NA,NA,NA,NA,NA,4.266666666666667,3.9,-0.5666666666666664,0.8698,1.6709999999999998,0.31721791542698674,0.5557653722651384,0.4692849116432032,-0.27141291677487306,NA
2012-07-01,2,1032,0.08152028369328854,0.11456695260896897,0,0.22576884892378013,0.16043956079990973,15.271690501827447,36.4124418022718,21.14075130044435,29.155734845842368,4.166666666666666,3,0.7881,NA,NA,NA,NA,NA,NA,NA,3.7,4.266666666666667,0.4666666666666659,2.5408,-1.7527,0.04462948845815583,0.31721791542698674,0.5557653722651384,-0.27141291677487306,NA
2012-10-01,2,1242,1.018220313090529,1.0538678064623206,0.6795817993425353,1.3591635986850705,1.4870091747391956,35.51153885522169,52.16696367878599,16.655424823564303,34.060160045352305,4.066666666666666,3,2.2833,NA,NA,NA,NA,NA,NA,NA,4.166666666666666,3.7,-0.09999999999999964,0.7881,1.4952,0.11456695260896897,0.04462948845815583,0.31721791542698674,-0.27141291677487306,NA
2013-01-01,2,1294,1.7107651956614913,1.270782426101483,1.270782426101483,1.273664886086231,1.717843761813111,40.185567404349655,54.09595612123992,13.910388716890264,46.367962389634215,4.3,3,2.0951,NA,NA,NA,NA,NA,NA,NA,4.066666666666666,4.166666666666666,0.2333333333333334,2.2833,-0.18820000000000014,1.0538678064623206,0.11456695260896897,0.04462948845815583,-0.27141291677487306,NA
2013-04-01,2,1372,1.7726990912022447,1.3326119846589355,1.3326119846589355,1.3947662159069774,1.8456512904367413,41.51785714285714,54.67261904761905,13.154761904761905,45.92261904761905,4,3,1.4098,NA,NA,NA,NA,NA,NA,NA,4.3,4.066666666666666,-0.2999999999999998,2.0951,-0.6853,1.270782426101483,1.0538678064623206,0.11456695260896897,-0.27141291677487306,NA
2013-07-01,2,1504,1.2729949461212444,1.0542671873672138,1.0542671873672138,0.8542856432232132,0.957526077836368,35.52014462718188,48.163479860700434,12.643335233518556,42.02339536461358,4.133333333333333,3,0,NA,NA,NA,NA,NA,NA,NA,4,4.3,0.13333333333333286,1.4098,-1.4098,1.3326119846589355,1.270782426101483,1.0538678064623206,-0.27141291677487306,NA
2013-10-01,2,1656,0.8225329650420563,0.7557320375207373,0.4178087481420135,0.6758465787574474,0.675356936001434,29.087374832219183,43.55933915217445,14.47196431995527,38.783166442958915,3.7,3,2.5789,NA,NA,NA,NA,NA,NA,NA,4.133333333333333,4,-0.4333333333333327,0,2.5789,1.0542671873672138,1.3326119846589355,1.270782426101483,-0.27141291677487306,NA
2014-01-01,2,1726,0.9316855478324965,0.9140569420758707,0,0.8200851071214696,0.8413208757213362,32.49892507793185,42.90417069762442,10.405245619692572,37.075405783080726,4.166666666666667,3,0.9069,NA,NA,NA,NA,NA,NA,NA,3.7,4.133333333333333,0.4666666666666668,2.5789,-1.672,0.7557320375207373,1.0542671873672138,1.3326119846589355,-0.27141291677487306,NA
2014-04-01,2,1629,1.0060012953063304,0.916068475021783,0.916068475021783,0.9566096550296913,1.060589422661241,32.54226914774303,45.42953534086661,12.887266193123576,39.290408943452206,4.033333333333333,3,1.8953,NA,NA,NA,NA,NA,NA,NA,4.166666666666667,3.7,-0.13333333333333375,0.9069,0.9884,0.9140569420758707,0.7557320375207373,1.0542671873672138,-0.27141291677487306,NA
2014-07-01,2,1766,0.6736623528008392,0.6680003048217559,0,0.6365532733894268,0.6602569936099483,27.19695073825245,41.90039848306928,14.703447744816831,36.786853267111994,3.933333333333333,3,2.969,NA,NA,NA,NA,NA,NA,NA,4.033333333333333,4.166666666666667,-0.10000000000000009,1.8953,1.0736999999999999,0.916068475021783,0.9140569420758707,0.7557320375207373,-0.27141291677487306,NA
2014-10-01,2,1463,-0.03274118220590223,-0.02316987278461768,-0.02316987278461768,-0.025901926905410762,-0.03477023629835913,12.30376766091052,30.762689691261123,18.4589220303506,48.541339612768184,3.1666666666666665,3,1.118,NA,NA,NA,NA,NA,NA,NA,3.933333333333333,4.033333333333333,-0.7666666666666666,2.969,-1.8509999999999998,0.6680003048217559,0.916068475021783,0.9140569420758707,-0.27141291677487306,NA
2015-01-01,2,1162,0.2679650848612751,0.20182848135299766,0.20182848135299766,0.43186891911191416,0.574573919584058,17.151982744317237,30.94408495105359,13.792102206736352,46.478347436535586,3.1,3,-1.1775,NA,NA,NA,NA,NA,NA,NA,3.1666666666666665,3.933333333333333,-0.06666666666666643,1.118,-2.2955,-0.02316987278461768,0.6680003048217559,0.916068475021783,-0.27141291677487306,NA
2015-04-01,2,1113,0.6571862992628417,0.44562889456791543,0.44562889456791543,0.2511585512192639,0.37898543428091896,22.4053404642871,35.034685889237686,12.629345424950586,50.323605782273376,3.3666666666666667,3,-3.099,NA,NA,NA,NA,NA,NA,NA,3.1,3.1666666666666665,0.2666666666666666,-1.1775,-1.9215000000000002,0.20182848135299766,-0.02316987278461768,0.6680003048217559,-0.27141291677487306,NA
2015-07-01,2,1134,0.5187124879969076,0.3574628345646408,0.3574628345646408,0.1125591306681823,0.1555195103086044,20.505557581026636,33.569846033036995,13.06428845201036,48.55054173561059,3.4333333333333336,3,3,NA,NA,NA,NA,NA,NA,NA,3.3666666666666667,3.1,0.06666666666666687,-3.099,6.099,0.44562889456791543,0.20182848135299766,-0.02316987278461768,-0.27141291677487306,NA
2015-10-01,2,1180,0.4979746856740521,0.39084252544183506,0.39084252544183506,0.25949874124931877,0.2925333220804782,21.224815823650427,31.396177406934914,10.171361583284488,43.26276592076682,3.2333333333333334,3,1.5996,NA,NA,NA,NA,NA,NA,NA,3.4333333333333336,3.3666666666666667,-0.20000000000000018,3,-1.4004,0.3574628345646408,0.44562889456791543,0.20182848135299766,-0.27141291677487306,NA
2016-01-01,2,1145,0.20854417902542163,0.17560973533536217,0.17560973533536217,0.20874591398355577,0.2454994303460176,16.587026967649805,27.068343677340216,10.481316709690411,41.925266838761644,3.1,3,0.2014,NA,NA,NA,NA,NA,NA,NA,3.2333333333333334,3.4333333333333336,-0.1333333333333333,1.5996,-1.3981999999999999,0.39084252544183506,0.3574628345646408,0.44562889456791543,-0.27141291677487306,NA
2016-04-01,2,1132,0.16887331838258934,0.14197642692372844,0.14197642692372844,0.08209300416933774,0.1028700160073749,15.862303830135566,24.704202557589504,8.84189872745394,42.44111389177891,3.1333333333333333,3,-0.3009,NA,NA,NA,NA,NA,NA,NA,3.1,3.2333333333333334,0.033333333333333215,0.2014,-0.5023,0.17560973533536217,0.39084252544183506,0.3574628345646408,-0.27141291677487306,NA
2016-07-01,2,1182,-0.04950050884536323,-0.04392289790187886,-0.04392289790187886,-0.06161271082309929,-0.06774788556593918,11.856586036913907,23.713172073827813,11.856586036913907,40.65115212656197,3.066666666666667,3,2.5022,NA,NA,NA,NA,NA,NA,NA,3.1333333333333333,3.1,-0.06666666666666643,-0.3009,2.8031,0.14197642692372844,0.17560973533536217,0.39084252544183506,-0.27141291677487306,NA
2016-10-01,2,1148,-0.2575294592480459,-0.22722435560649534,-0.08381026910523506,-0.16762053821047013,-0.21240890428323145,7.906846513439813,21.791001168679394,13.884154655239579,41.098558628749515,2.933333333333333,3,1.6074,NA,NA,NA,NA,NA,NA,NA,3.066666666666667,3.1333333333333333,-0.13333333333333375,2.5022,-0.8948000000000003,-0.04392289790187886,0.14197642692372844,0.17560973533536217,-0.27141291677487306,NA
2017-01-01,2,1038,-0.17932467560831433,-0.1430808416412685,-0.1430808416412685,-0.33147960290656614,-0.4116536417859051,9.719952458772841,26.98707472886644,17.267122270093598,42.36740454612985,3.2,3,3.4033,NA,NA,NA,NA,NA,NA,NA,2.933333333333333,3.066666666666667,0.26666666666666705,1.6074,1.7959000000000003,-0.22722435560649534,-0.04392289790187886,0.14197642692372844,-0.27141291677487306,NA
2017-04-01,2,1087,-0.5418227884336075,-0.4645778175943826,-0.4645778175943826,-0.5114445981743864,-0.5600631903972312,2.792406281558595,24.003171956649926,21.21076567509133,41.47096100797734,3.0666666666666664,3,3.1,NA,NA,NA,NA,NA,NA,NA,3.2,2.933333333333333,-0.13333333333333375,3.4033,-0.3033000000000001,-0.1430808416412685,-0.22722435560649534,-0.04392289790187886,-0.27141291677487306,NA
2017-07-01,2,1058,-0.35683230406039385,-0.28574177206776036,-0.28574177206776036,-0.3377686720679094,-0.42898448252947513,6.645926084857587,25.4626401330258,18.816714048168215,43.458670814783034,3.1333333333333333,3,-0.2773,NA,NA,NA,NA,NA,NA,NA,3.0666666666666664,3.2,0.06666666666666687,3.1,-3.3773,-0.4645778175943826,-0.1430808416412685,-0.22722435560649534,-0.27141291677487306,NA
2017-10-01,2,1017,-0.18942478032307714,-0.1375659063645756,-0.1375659063645756,-0.12634163700209305,-0.17009749168828767,9.838787072007927,26.49216766763668,16.653380595628754,47.17780632778156,3.033333333333333,3,2.0003,NA,NA,NA,NA,NA,NA,NA,3.1333333333333333,3.0666666666666664,-0.10000000000000009,-0.2773,2.2776,-0.28574177206776036,-0.4645778175943826,-0.1430808416412685,-0.27141291677487306,NA
