date_q,n_statements,words_sum,dli1_q_mean,dli2_q_mean,dli3_q_mean,dli2_q_last,dli1_q_last,d_net_q_mean,d_q_mean,h_q_mean,i_q_mean
2006-01-01,2,505,-1.995061998424797,-1.5042265323182114,-1.5042265323182114,-1.5780948235753416,-1.9047328112604056,-19.60971572278993,9.804857861394964,29.414573584184893,45.976188202336616
2006-04-01,2,620,-1.3343873265377524,-1.186036338943358,-0.5363036263719083,-1.0726072527438166,-1.5095843831841502,-12.753423369786608,11.432122750394301,24.18554612018091,40.77230804583294
2006-07-01,2,433,-4.398218008817483,-2.2056164604053166,-2.2056164604053166,-2.3537328869765157,-4.8203225975189365,-34.723111737329745,9.2438409973955,43.96695273472525,64.70688698176849
2006-10-01,2,440,-4.475901844372778,-2.493679581489907,-2.493679581489907,-2.4505088906385537,-4.2807859719824,-40.93023255813954,9.095607235142118,50.02583979328165,59.12144702842377
2007-01-01,2,349,-3.548956564323033,-2.5530286377490645,-2.5530286377490645,-1.417988580454118,-1.662553629933736,-42.20907297830374,17.389875082182776,59.59894806048652,45.710059171597635
2007-04-01,2,350,-1.6202854997605787,-1.4122676124233973,-0.9876871614378718,-0.8491609019710511,-0.9073949015809095,-17.628205128205128,19.917582417582416,37.54578754578755,40.06410256410256
2007-07-01,4,700,-0.133126165207962,-0.8650528710836957,0,-0.05868657635492756,-0.031005565357430945,-5.836942152108029,18.443687697242197,24.280629849350227,14.063069631790011
2007-10-01,2,589,-0.33414487824866873,-0.4301815774395369,0,-0.2661939708487077,-0.22219820785745295,3.533568904593638,32.24092935171713,28.70736044712349,30.60694242361255
2008-01-01,4,1221,-0.25289459203396725,-0.30288298870277564,-0.22746830394161308,-0.9098732157664523,-1.0475098903957563,6.276570916210467,27.353785262640052,21.077214346429585,16.52002979242421
2008-04-01,2,563,-1.6629168414495805,-1.0672063388371311,-1.0672063388371311,-1.690432790295044,-2.7951281743930205,-10.192900644700966,26.37413041816375,36.567031062864714,48.59465382361185
2008-07-01,2,476,-1.3564070362837306,-1.1894340705769648,-0.483464080630463,-1.4119399798930037,-1.349150471951134,-12.826636944252781,20.85876545830901,33.68540240256179,41.71753091661802
2008-10-01,3,1138,-0.23969714393319616,-0.12143311074705197,-0.1632934788227028,0.5602709320195017,0.13562527146400807,10.186413006207237,25.30317254224649,15.116759536039252,27.62207342376115
2009-01-01,2,898,-0.09928251916387668,-0.11655949798007104,0,0.07039157012530957,0.027341919174367554,10.291428542956936,33.25842920563425,22.967000662677314,24.160318085111683
2009-04-01,2,807,0.1576246924852994,0.26129612819462594,0,0.13859648963076068,0.07617962410307166,18.433378528287932,43.30087513866634,24.867496610378403,24.722667324047826
2009-07-01,2,847,0.39381412639052066,0.6646951416803715,0,1.0437776159180345,0.6542831220394407,27.125731809311404,46.01616950097575,18.890437691664346,23.604683579592972
2009-10-01,2,1024,0.3858178903088415,0.511747482314105,0,0.317426207607583,0.16923525905434952,23.830049261083744,43.53448275862069,19.704433497536947,27.770935960591135
2010-01-01,2,985,-0.16054941927204525,-0.18015624270916464,0,-0.27989045266329166,-0.27604468263538084,8.921059865226189,28.510324606632068,19.58926474140588,30.051310671120255
2010-04-01,3,1072,-0.5554057475303613,-0.2406337325374189,-0.4011418507264501,-0.7227245653744235,-1.0616135318136024,7.617904206529307,27.028587591922893,19.41068338539359,30.76418617466635
2010-07-01,2,888,0.5731664357213957,0.4992801495275211,0.4992801495275211,0.3794355571977042,0.42098625183931987,23.56140591434709,40.5106875695111,16.949281655164008,40.5106875695111
2010-10-01,2,983,1.5691708249445244,1.1526906499102654,1.1526906499102654,1.2016788009775545,1.6377824393921832,37.64095176593314,48.83016243604391,11.189210670110775,46.795572334542086
2011-01-01,2,900,2.039999162484074,1.263721058137952,1.263721058137952,1.2100486733642006,2.228449095068844,40.03341059946326,49.945386520108144,9.911975920644885,54.26504094775393
2011-04-01,2,924,2.0435521935052874,1.2120732249927804,1.2120732249927804,0.9224482233292639,1.221857226888455,38.92051444233607,48.68226860636727,9.761754164031203,54.058612692388785
2011-07-01,2,1123,0.4425476744867055,0.4692849116432032,0.14238977034470976,0.6537902825969868,0.5487333694617683,22.915075120957475,41.84173669467787,18.926661573720395,36.79971988795518
2011-10-01,2,934,0.5963947463159062,0.5557653722651384,0.3372000457780473,0.6744000915560946,0.7268739029576382,24.77853707922045,41.97096247210142,17.192425392880974,38.554105980074084
2012-01-01,2,864,0.30033692577599846,0.31721791542698674,0,0.46781005315967256,0.46952863493853364,19.63836890872942,35.871038965910856,16.232670057181444,33.5291185912036
2012-04-01,2,953,0.050156386152125865,0.04462948845815583,0,-0.044956253081198355,-0.030913277963915013,13.764693395600602,30.622849612156266,16.858156216555663,31.743925845340122
2012-07-01,2,1032,0.08152028369328854,0.11456695260896897,0,0.22576884892378013,0.16043956079990973,15.271690501827447,36.4124418022718,21.14075130044435,29.155734845842368
2012-10-01,2,1242,1.018220313090529,1.0538678064623206,0.6795817993425353,1.3591635986850705,1.4870091747391956,35.51153885522169,52.16696367878599,16.655424823564303,34.060160045352305
2013-01-01,2,1294,1.7107651956614913,1.270782426101483,1.270782426101483,1.273664886086231,1.717843761813111,40.185567404349655,54.09595612123992,13.910388716890264,46.367962389634215
2013-04-01,2,1372,1.7726990912022447,1.3326119846589355,1.3326119846589355,1.3947662159069774,1.8456512904367413,41.51785714285714,54.67261904761905,13.154761904761905,45.92261904761905
2013-07-01,2,1504,1.2729949461212444,1.0542671873672138,1.0542671873672138,0.8542856432232132,0.957526077836368,35.52014462718188,48.163479860700434,12.643335233518556,42.02339536461358
2013-10-01,2,1656,0.8225329650420563,0.7557320375207373,0.4178087481420135,0.6758465787574474,0.675356936001434,29.087374832219183,43.55933915217445,14.47196431995527,38.783166442958915
2014-01-01,2,1726,0.9316855478324965,0.9140569420758707,0,0.8200851071214696,0.8413208757213362,32.49892507793185,42.90417069762442,10.405245619692572,37.075405783080726
2014-04-01,2,1629,1.0060012953063304,0.916068475021783,0.916068475021783,0.9566096550296913,1.060589422661241,32.54226914774303,45.42953534086661,12.887266193123576,39.290408943452206
2014-07-01,2,1766,0.6736623528008392,0.6680003048217559,0,0.6365532733894268,0.6602569936099483,27.19695073825245,41.90039848306928,14.703447744816831,36.786853267111994
2014-10-01,2,1463,-0.03274118220590223,-0.02316987278461768,-0.02316987278461768,-0.025901926905410762,-0.03477023629835913,12.30376766091052,30.762689691261123,18.4589220303506,48.541339612768184
2015-01-01,2,1162,0.2679650848612751,0.20182848135299766,0.20182848135299766,0.43186891911191416,0.574573919584058,17.151982744317237,30.94408495105359,13.792102206736352,46.478347436535586
2015-04-01,2,1113,0.6571862992628417,0.44562889456791543,0.44562889456791543,0.2511585512192639,0.37898543428091896,22.4053404642871,35.034685889237686,12.629345424950586,50.323605782273376
2015-07-01,2,1134,0.5187124879969076,0.3574628345646408,0.3574628345646408,0.1125591306681823,0.1555195103086044,20.505557581026636,33.569846033036995,13.06428845201036,48.55054173561059
2015-10-01,2,1180,0.4979746856740521,0.39084252544183506,0.39084252544183506,0.25949874124931877,0.2925333220804782,21.224815823650427,31.396177406934914,10.171361583284488,43.26276592076682
2016-01-01,2,1145,0.20854417902542163,0.17560973533536217,0.17560973533536217,0.20874591398355577,0.2454994303460176,16.587026967649805,27.068343677340216,10.481316709690411,41.925266838761644
2016-04-01,2,1132,0.16887331838258934,0.14197642692372844,0.14197642692372844,0.08209300416933774,0.1028700160073749,15.862303830135566,24.704202557589504,8.84189872745394,42.44111389177891
2016-07-01,2,1182,-0.04950050884536323,-0.04392289790187886,-0.04392289790187886,-0.06161271082309929,-0.06774788556593918,11.856586036913907,23.713172073827813,11.856586036913907,40.65115212656197
2016-10-01,2,1148,-0.2575294592480459,-0.22722435560649534,-0.08381026910523506,-0.16762053821047013,-0.21240890428323145,7.906846513439813,21.791001168679394,13.884154655239579,41.098558628749515
2017-01-01,2,1038,-0.17932467560831433,-0.1430808416412685,-0.1430808416412685,-0.33147960290656614,-0.4116536417859051,9.719952458772841,26.98707472886644,17.267122270093598,42.36740454612985
2017-04-01,2,1087,-0.5418227884336075,-0.4645778175943826,-0.4645778175943826,-0.5114445981743864,-0.5600631903972312,2.792406281558595,24.003171956649926,21.21076567509133,41.47096100797734
2017-07-01,2,1058,-0.35683230406039385,-0.28574177206776036,-0.28574177206776036,-0.3377686720679094,-0.42898448252947513,6.645926084857587,25.4626401330258,18.816714048168215,43.458670814783034
2017-10-01,2,1017,-0.18942478032307714,-0.1375659063645756,-0.1375659063645756,-0.12634163700209305,-0.17009749168828767,9.838787072007927,26.49216766763668,16.653380595628754,47.17780632778156
2018-01-01,2,890,-0.013787015533002461,-0.015517278578623728,-0.015517278578623728,-0.18885483760936458,-0.2652961585407583,12.468664078926086,25.897622513343038,13.42895843441695,49.48043021187126
2018-04-01,2,763,-0.06776982374337512,-0.04518766518180313,-0.04518766518180313,-0.033341478106442425,-0.05426665833542253,11.829333109544589,27.130888441311402,15.301555331766814,51.49588788183954
2018-07-01,2,621,0.6382570621755395,0.3760264213145885,0.3760264213145885,0.32785384905317067,0.5556139317083942,20.905561668292886,27.351616184683095,6.446054516390209,56.358861508439034
2018-10-01,2,658,0.8072656001784168,0.5303385099629319,0.5303385099629319,0.6235463669516812,0.9093871576586429,24.23064463880791,30.32069970845481,6.0900550696469065,51.765468091998706
2019-01-01,2,696,0.7287767134480472,0.40807635320397817,0.40807635320397817,0.31835735713938884,0.5696757586338054,21.59616655651024,30.221414408460014,8.62524785194977,58.90614672835426
2019-04-01,2,699,0.456574230364508,0.2611069910764683,0.2611069910764683,0.41746008387600314,0.7210931695075433,18.429303043235613,31.40901480581728,12.979711762581662,58.73083615114409
2019-07-01,2,812,1.1036973165267994,0.7197410572920665,0.7197410572920665,0.6884775981737836,1.0814772189468107,28.311849100575344,33.23987085184376,4.928021751268419,51.744228388318405
2019-10-01,3,1398,0.8988942436589803,0.7991929673660688,0.520598176872688,1.1246638776438815,2.120698291796763,30.023861396410418,34.67683369644154,4.652972300031124,40.02835702182107
2020-01-01,4,1770,0.8244578017346215,1.0288917469529255,0.2811659694109704,1.476953629127529,-0.15939940933746405,34.97336021430838,40.01264237002711,5.039282155718728,31.22884434858039
2020-04-01,2,873,2.9508768163820926,2.2235153966188115,2.2235153966188115,2.16067284632425,2.8551924392733388,60.71484805542434,63.00582585419619,2.2909777987718467,45.81955597543694
2020-07-01,2,1013,2.355825414646,1.851125440820176,1.851125440820176,1.6676165595806924,2.1722759856559044,52.69067113407738,59.38195575061151,6.691284616534139,44.349669270034525
2020-10-01,2,956,2.054066545840829,1.4917427201505489,1.4917427201505489,1.611193070721096,2.351145674851853,44.9467712564785,56.467992716066675,11.521221459588178,47.03915114161647
2021-01-01,2,976,1.7945458694883063,1.307890103400703,1.307890103400703,1.3195830908234354,1.7297846996736357,40.985155479035,51.23144434879375,10.24628886975875,47.12033090473891
2021-04-01,2,962,1.852215567921556,1.4803321608155315,1.4803321608155315,1.5328867297915154,1.922685218950172,44.7008990318119,56.13762102351314,11.436721991701244,43.65923236514523
2021-07-01,2,1006,1.4353894978159811,1.2080204310286247,1.2080204310286247,1.0373793862307361,1.2015642083179534,38.83318572874494,52.754143471659916,13.920957742914979,41.76287322874494
2021-10-01,2,1145,0.8885475537249301,1.1995698148104172,0,1.3358626470367476,0.8647079107037954,38.65109370780448,49.05880981022758,10.407716102423096,29.466280411459994
2022-01-01,2,797,0.2555089049315855,0.4691371891684602,0,0.055809704838046814,0.055625298458728475,22.911892029539086,37.26126814362108,14.349376114081998,29.57091927680163
2022-04-01,2,771,-0.10217235378731818,-0.10834638074127609,0,0.25848028750882757,0.2606292342226402,10.468402988088028,36.38199071269938,25.913587724611347,36.32142136079144
2022-07-01,2,654,1.3544066468498497,1.1088947669863196,1.1088947669863196,1.1088947669863196,1.3544066468498497,36.69724770642202,48.92966360856269,12.232415902140673,42.813455657492355
2022-10-01,2,795,1.1770933621405655,1.040346351340848,1.040346351340848,1.0382903569567332,1.1729174098961994,35.22018151209448,45.28309051555004,10.062909003455566,40.251636013822264
2023-01-01,2,743,0.7138452605296007,0.7928105255548927,0,0.4850980872534637,0.43540840883355164,29.88633394303632,48.53671282989286,18.650378886856544,33.649798217344596
2023-04-01,2,716,0.44041595637347786,0.44309443589133,0,0.42860751382538465,0.4181320937324766,22.35072850576327,50.28913913796737,27.93841063220409,36.31993382186532
2023-07-01,2,717,0.8859824698173369,0.8941482435244993,0,0.9484953920983212,0.9319221501906507,32.06993681720564,57.17576021662672,25.105823399421084,36.26396713249712
2023-10-01,2,745,0.8509057958197461,0.9011955076169453,0,0.8791162974047032,0.8137575576297206,32.221789714977724,56.38813200121102,24.166342286233295,34.90693885789254
2024-01-01,2,708,0.7704682987775728,0.8480061967409159,0,0.8602280220016897,0.7901261772472927,31.075678134501665,50.85110967463909,19.775431540137426,33.900739783092725
2024-04-01,2,789,0.7630076294743284,0.8714332136157715,0,0.8082852646434021,0.7857376817622616,31.580478345184225,51.78409825468649,20.20361990950226,33.15126050420168
2024-07-01,2,756,0.16513280862923962,0.2014745799830644,0,-0.09914526226818278,-0.08344776762170815,17.14435695538058,43.60104986876641,26.45669291338583,31.748031496062993
2024-10-01,2,707,0.2764790343740406,0.38937993324110187,0,0.417460083876003,0.2817006830102562,21.193300208366722,43.85718865202757,22.663888443660845,28.32986055457605
2025-01-01,2,716,0.4998535595263025,0.8099627890556667,0,1.0890403945003737,0.58451235504925525,30.255927147118857,51.44449678128434,21.18856963416549,26.809546239598056
2025-04-01,2,665,0.28143709179748455,0.3958175517971334,0,0.7151613300349697,0.5068287304973351,21.332016598111874,48.19975718919311,26.867740591081233,28.557450124123434
2025-07-01,2,704,0.20718844065849457,0.33184297104830157,0,0.057635488233744654,0.03491099920726836,19.95350639287098,45.49270308665892,25.539196693787936,25.571483920960866
2025-10-01,2,794,-0.12920131902221701,-0.2464473173170831,0,-0.13918396182247705,-0.06855820305810068,7.492634359443258,35.22173117951844,27.72909682007518,22.687442852788784
